table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Sacramento-Roseville-Folsom, CA Metro Area",2397382,2399351,2411428
".Saginaw, MI Metro Area",190124,189831,189591
".St. Cloud, MN Metro Area",199671,199687,200406
".St. George, UT Metro Area",180279,181924,191226
".St. Joseph, MO-KS Metro Area",121467,121181,120424
".St. Louis, MO-IL Metro Area",2820253,2818267,2809299
".Salem, OR Metro Area",433353,434065,436283
".Salinas, CA Metro Area",439035,438500,437325
".Salisbury, MD-DE Metro Area",418046,419397,429223
".Salt Lake City, UT Metro Area",1257936,1259517,1263061
".San Angelo, TX Metro Area",122888,123010,122344
".San Antonio-New Braunfels, TX Metro Area",2558143,2566683,2601788
".San Diego-Chula Vista-Carlsbad, CA Metro Area",3298634,3297252,3286069
".San Francisco-Oakland-Berkeley, CA Metro Area",4749008,4739649,4623264
"..Oakland-Berkeley-Livermore, CA Metro Division",2848280,2845406,2809969
"..San Francisco-San Mateo-Redwood City, CA Metro Division",1638407,1632467,1553089
"..San Rafael, CA Metro Division",262321,261776,260206
".San Jose-Sunnyvale-Santa Clara, CA Metro Area",2000468,1995105,1952185
".San Luis Obispo-Paso Robles, CA Metro Area",282424,282231,283159
".Santa Cruz-Watsonville, CA Metro Area",270861,270353,267792
".Santa Fe, NM Metro Area",154823,154977,155201
".Santa Maria-Santa Barbara, CA Metro Area",448229,448096,446475
".Santa Rosa-Petaluma, CA Metro Area",488863,488345,485887
".Savannah, GA Metro Area",404798,405053,410008
".Scranton--Wilkes-Barre, PA Metro Area",567559,566574,567750
".Seattle-Tacoma-Bellevue, WA Metro Area",4018762,4024730,4011553
"..Seattle-Bellevue-Kent, WA Metro Division",3097632,3101902,3085845
"..Tacoma-Lakewood, WA Metro Division",921130,922828,925708
".Sebastian-Vero Beach, FL Metro Area",159788,160345,163662
".Sebring-Avon Park, FL Metro Area",101235,101222,103296
